"ID","Mscode","Year","Est. Code","Estimate","SE","Lower CIB","Upper CIB","Flag"
"535ccc93-68b4-4cf7-90f4-4b40451b735a","MEASA","2017","_ChangeInProportion","-1.2","1.6","-2.8","0.3",""
"d33f1ef7-8b3c-4eff-a8b5-ecf5de959aae","MEASA","2017","_Number","156.3","12.4","143.9","168.6",""
"26a3d824-824d-47b9-8836-510bd7e45775","MEASA","2017","_ChangeInNumber","-12.1","17.2","-29.3","5.1",""
"0f503b20-25a6-4d74-af49-8ab173958d8c","MEASA","2017","_Population","1103.2","0.0","0.0","0.0",""
"b6384f4c-3654-433a-9893-48472b855dd8","MEASA","2018","_Proportion","16.5","1.1","15.4","17.6",""
"0af89025-280e-4d7f-bdb1-50babbc878e1","MEASA","2018","_ChangeInProportion","2.3","1.6","0.7","3.9",""
"846b8608-7b18-4fd9-b676-8ce6f7ad9192","MEASA","2018","_Number","183.4","12.2","171.2","195.6",""
"e6436507-f8e1-4ef0-b53e-0696dcbb2def","MEASA","2018","_ChangeInNumber","27.1","17.4","9.7","44.5",""
"5a05a122-ef17-4883-8d82-d05f0f85a9b7","MEASA","2018","_Population","1113.3","0.0","0.0","0.0",""
"5ff570ee-511d-4c24-9778-74e4ea7570f1","MEASA","2019","_Proportion","13.5","0.9","12.6","14.4",""
"0af275bd-f6f2-4284-a1a6-411968436ada","MEASA","2019","_ChangeInProportion","-2.9","1.7","-4.7","-1.2",""
"241e6fa1-13d8-4c8d-8cc3-e598275f5e90","MEASA","2019","_Number","153.2","10.1","143.2","163.3",""
"e9bf66c7-59ee-43ef-9bdb-95b0fb6d53b7","MEASA","2019","_ChangeInNumber","-30.1","19.6","-49.7","-10.5",""
"527d759b-4915-4c22-9578-593e6ef077df","MEASA","2019","_Population","1132.8","0.0","0.0","0.0",""
"cee16ce8-a3ba-44f1-93dd-cbc83ce8a054","MEASA","2020","_Proportion","13.2","1.2","12.0","14.5",""
"0cdbf0e1-a49d-4b6c-b400-3195e9f2eaf6","MEASA","2020","_ChangeInProportion","-0.3","1.6","-1.9","1.2",""
"bf3cf0a2-e817-4814-9270-4c7400fce704","MEASA","2020","_Number","151.2","14.2","137.0","165.4",""
"c8214750-829e-42ab-b127-380bbf203022","MEASA","2020","_ChangeInNumber","-2.1","17.8","-19.9","15.7",""
"29bd5451-e32e-4ee1-9e72-7336f84dc6e3","MEASA","2020","_Population","1144.1","0.0","0.0","0.0",""
"ab93502e-aaa1-4964-9ea4-d70836b7249a","MEASA","2021","_Proportion","13.0","1.2","11.8","14.2",""
"215e021e-028d-4987-b06d-a707e89742cb","MEASA","2021","_ChangeInProportion","-0.2","1.6","-1.9","1.4",""
"f308aabe-a341-417d-a1e1-2016fd8e4c7f","MEASA","2021","_Number","149.1","13.8","135.3","162.9",""
"71f344d0-2c79-42a4-b20b-6930a6451def","MEASA","2021","_ChangeInNumber","-2.1","18.8","-20.9","16.7",""
"a8b7dc41-f772-4a1f-9098-18a958734834","MEASA","2021","_Population","1149.2","0.0","0.0","0.0",""
"28a0e970-e477-40bd-a5a0-a0eeaf6de51f","MEASA","2022","_Proportion","12.0","1.7","10.3","13.6",""
"475ee22a-05a8-4cb5-80f9-07c92c801097","MEASA","2022","_ChangeInProportion","-1.0","2.0","-3.0","1.0",""
"698274b7-5751-4a8b-951b-fda3621a8f57","MEASA","2022","_Number","137.8","19.2","118.6","157.1",""
"44ec69c2-6671-4888-adaa-9db410c82dfe","MEASA","2022","_ChangeInNumber","-11.2","22.9","-34.1","11.6",""
"9669a1bf-ae8b-433b-b8f9-10022ce11ff4","MEASA","2022","_Population","1150.7","0.0","0.0","0.0",""
"582935c7-558d-4b3e-8b74-cd9516967c84","MEASB","2007","_Proportion","0.0","0.0","0.0","0.0","A"
"0e7a5a7c-743d-4a0d-be9d-79bd697bde7e","MEASB","2007","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"d450362f-4263-41e3-863d-402793639a57","MEASB","2007","_Number","0.0","0.0","0.0","0.0","A"
"51301884-a385-4385-a47b-a7314228511e","MEASB","2007","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"f2987b2b-eaea-4435-9e70-21af841fb3f9","MEASB","2007","_Population","0.0","0.0","0.0","0.0","A"
"25dc431c-5886-4420-9596-1abe36b2ef1a","MEASB","2008","_Proportion","0.0","0.0","0.0","0.0","A"
"c00729c7-0700-4704-9e35-913026fa954a","MEASB","2008","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"5173f65f-ef00-4d1b-a520-11aa399a6ef8","MEASB","2008","_Number","0.0","0.0","0.0","0.0","A"
"02b980c1-bc01-4806-bd57-fd8a0c55c9b4","MEASB","2008","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"bf514883-eda5-474e-9896-7536744b9ca8","MEASB","2008","_Population","0.0","0.0","0.0","0.0","A"
"6d1f9514-ed8a-4a07-b1fe-9e68a971ad93","MEASB","2009","_Proportion","30.5","3.0","27.5","33.4",""
"7d8136f4-1c98-4fd4-85d6-97a3d77f6640","MEASB","2009","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"27f858fd-316e-48cd-bc19-a259a11d1e02","MEASB","2009","_Number","328.6","32.1","296.5","360.7",""
"0776432d-193b-4080-b313-d6d4752a81d0","MEASB","2009","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"55c3ab19-869b-43ef-96ad-d806a0534bd6","MEASB","2009","_Population","1078.1","0.0","0.0","0.0",""
"43ec4c7a-95ab-4763-9778-373c2dd46233","MEASB","2010","_Proportion","26.9","3.1","23.7","30.0",""
"f3478099-2438-417c-8d1c-61a21cc4503a","MEASB","2010","_ChangeInProportion","-3.6","4.5","-8.1","0.9",""
"4e7e5a80-1245-454d-9efc-61d485ea19a7","MEASB","2010","_Number","291.1","33.6","257.5","324.6",""
"f7768c02-c05e-4717-bbc0-42c994ae2c77","MEASB","2010","_ChangeInNumber","-37.5","48.0","-85.5","10.5",""
"f6ba4fd6-30cb-4a62-a00a-affd54f69cb1","MEASB","2010","_Population","1082.6","0.0","0.0","0.0",""
"fe339f76-2e29-457a-8f86-3430bb960bac","MEASB","2011","_Proportion","30.9","3.4","27.5","34.2",""
"0f036078-78ac-4042-965b-d19c69aa3854","MEASB","2011","_ChangeInProportion","4.0","4.6","-0.6","8.6",""
"657e7ca5-0911-46f4-8233-8c8f8e3b24ea","MEASB","2011","_Number","335.3","35.7","299.7","371.0",""
"44c1739a-753c-434d-b115-b8473967efe3","MEASB","2011","_ChangeInNumber","44.2","49.0","-4.8","93.2",""
"98e7a952-7323-407a-9d06-bb46e5ea25a8","MEASB","2011","_Population","1086.9","0.0","0.0","0.0",""
"9d5d722e-e686-47fb-ba32-18b4b604838e","MEASB","2012","_Proportion","29.1","2.7","26.3","31.8",""
"2b924041-9145-4450-b125-2ac0232f01c3","MEASB","2012","_ChangeInProportion","-1.8","4.4","-6.2","2.6",""
"45d3f7e9-c158-4bff-b156-fa8fbbd21ce2","MEASB","2012","_Number","315.6","30.0","285.6","345.7",""
"acf9ee5b-ffaf-4a41-ac45-02d68a2e2716","MEASB","2012","_ChangeInNumber","-19.7","47.4","-67.1","27.7",""
"15d33681-413a-4ac1-9dec-0eb86d0ed222","MEASB","2012","_Population","1085.9","0.0","0.0","0.0",""
"cd7d5614-554e-4352-8e5d-21afcf255132","MEASB","2013","_Proportion","26.9","2.6","24.3","29.5",""
"5719c3be-ced1-44d5-80d9-b3fe22da9889","MEASB","2013","_ChangeInProportion","-2.1","3.7","-5.8","1.6",""
"d9e8dfac-e3ee-4077-87e6-35dae35cc9b5","MEASB","2013","_Number","292.3","28.3","264.0","320.5",""
"57e14cc8-a677-4a43-88e5-14125889faba","MEASB","2013","_ChangeInNumber","-23.3","40.1","-63.4","16.8",""
"be6dea07-ca79-4f8e-95de-850e71498f66","MEASB","2013","_Population","1084.7","0.0","0.0","0.0",""
"926a6aae-a21a-4e72-a037-3358e2055025","MEASB","2014","_Proportion","27.3","2.9","24.4","30.2",""
"11ae2e9a-26d9-495e-9bd3-171e6f2f7720","MEASB","2014","_ChangeInProportion","0.4","4.0","-3.6","4.4",""
"71684861-4bc1-4c15-96f3-898f8b127de8","MEASB","2014","_Number","295.9","31.0","264.9","326.9",""
"f521f52d-6c96-4f54-b631-d60a3d098b9f","MEASB","2014","_ChangeInNumber","3.6","43.3","-39.7","46.9",""
"8bcdd744-18cd-4d8c-87bb-741837acc468","MEASB","2014","_Population","1083.9","0.0","0.0","0.0",""
"a2c7d2f5-2f5c-4c6d-a677-d4a82424ba38","MEASB","2015","_Proportion","27.2","2.9","24.3","30.0",""
"90d33a95-65b4-4f55-aac7-489b734498ea","MEASB","2015","_ChangeInProportion","-0.1","3.8","-3.9","3.7",""
"6cedcb59-f3d4-49b1-90b3-3e0ce75aff04","MEASB","2015","_Number","295.6","30.1","265.5","325.7",""
"ea52661a-11dc-4c60-8a32-2ac8ceadb502","MEASB","2015","_ChangeInNumber","-0.3","41.4","-41.7","41.1",""
"95f74d93-6348-48d7-8303-1ede1cd2d5f5","MEASB","2015","_Population","1087.1","0.0","0.0","0.0",""
"ce6cdc96-5fa7-4b57-a5b2-43d44dd80b7c","MEASB","2016","_Proportion","24.3","2.3","21.9","26.6",""
"7c7bd20e-7586-4d12-8eda-3247ec8709c0","MEASB","2016","_ChangeInProportion","-2.9","3.5","-6.4","0.6",""
"bf996b7b-1aa0-46ac-b42c-9c91a96b7f0c","MEASB","2016","_Number","265.4","25.8","239.6","291.2",""
"aa9da663-c824-4548-b567-2ee6cab37877","MEASB","2016","_ChangeInNumber","-30.2","37.8","-68.0","7.6",""
"145f8089-afa6-45dd-a690-64b526647439","MEASB","2016","_Population","1093.2","0.0","0.0","0.0",""
"acce78de-7b7d-497f-8c8b-4289fb5cf9ee","MEASB","2017","_Proportion","22.4","2.4","20.0","24.9",""
"4b3f1665-f367-4bf7-a101-8c2ec1f7c5d8","MEASB","2017","_ChangeInProportion","-1.8","3.3","-5.1","1.5",""
"2237ad9e-ccc3-471b-8a10-cb3d20ca6669","MEASB","2017","_Number","247.5","26.4","221.1","273.9",""
"fc712c98-168d-4098-a1e1-715c751f9eca","MEASB","2017","_ChangeInNumber","-17.9","36.1","-54.0","18.2",""
"359d6920-d78f-412c-8293-e1e7b29330d9","MEASB","2017","_Population","1103.2","0.0","0.0","0.0",""
"702980c2-be03-4d12-b78d-132007a13d41","MEASB","2018","_Proportion","22.8","1.9","20.9","24.7",""
"7fe046ce-41b9-4690-ae28-2e47b3027aa9","MEASB","2018","_ChangeInProportion","0.4","2.8","-2.4","3.2",""
"5c0cc368-d9fd-4354-bb82-86b5134955a9","MEASB","2018","_Number","253.8","21.6","232.3","275.4",""
"895d96c2-ab85-4475-a056-2f3fa741fe52","MEASB","2018","_ChangeInNumber","6.3","31.0","-24.7","37.3",""
"b90f4199-3128-4bd2-b25f-e0bbcdc2f931","MEASB","2018","_Population","1113.3","0.0","0.0","0.0",""
"88e0a2b0-6403-47a1-b9f4-294960a9cdbf","MEASB","2019","_Proportion","18.3","1.1","17.2","19.5",""
"e9c284c5-4a43-48ad-af16-a89d6aeec34e","MEASB","2019","_ChangeInProportion","-4.5","2.4","-6.9","-2.0",""
"156b6e6e-c2d9-4b91-be1d-f00d54ea4a8f","MEASB","2019","_Number","207.7","12.9","194.9","220.6",""
"10ebb601-edae-4057-9cd6-4a1216477db1","MEASB","2019","_ChangeInNumber","-46.1","27.4","-73.5","-18.7",""
"64f24042-cabe-479e-82f6-d730f61cbc92","MEASB","2019","_Population","1132.8","0.0","0.0","0.0",""
"f187a946-8a95-42d1-8520-2b4c7cddddbc","MEASB","2020","_Proportion","17.8","1.3","16.5","19.1",""
"d2eb0418-9bfa-434f-a8de-99ee90d3ba38","MEASB","2020","_ChangeInProportion","-0.6","1.7","-2.3","1.2",""
"a4853b55-b664-45ed-b3ad-65616492ad54","MEASB","2020","_Number","203.3","15.0","188.3","218.4",""
"f434c159-196c-4cd5-8ef7-937f966fc775","MEASB","2020","_ChangeInNumber","-4.4","19.9","-24.3","15.5",""
"84d815c4-68ec-4dc6-9a0e-83261c9be1fe","MEASB","2020","_Population","1144.1","0.0","0.0","0.0",""
"798ce3f8-c146-4e74-8262-c803e8014ac4","MEASB","2021","_Proportion","15.0","1.2","13.8","16.1",""
"562b3491-5c96-4c16-88a2-4949f002db3f","MEASB","2021","_ChangeInProportion","-2.8","1.7","-4.5","-1.1",""
"47ec18a2-ef59-4f73-812f-57b242799b14","MEASB","2021","_Number","172.0","13.3","158.7","185.3",""
"52e1074a-1997-4738-ad26-5d0badc6b997","MEASB","2021","_ChangeInNumber","-31.4","19.6","-51.0","-11.8",""
"298dc0ca-8a4f-43b5-a07d-4d73bdac8d08","MEASB","2021","_Population","1149.2","0.0","0.0","0.0",""
"2792c387-0d3d-4b7e-a120-58998ca95933","MEASB","2022","_Proportion","15.4","1.9","13.4","17.3",""
"dc9abdd2-3be8-4cfc-9584-c78f25eac5ff","MEASB","2022","_ChangeInProportion","0.4","2.2","-1.8","2.6",""
"dd108996-7265-4548-98c6-f73f448bc95a","MEASB","2022","_Number","176.8","22.2","154.6","198.9",""
"82d25d05-528e-4c2f-9287-ba5c913f861d","MEASB","2022","_ChangeInNumber","4.8","25.8","-21.0","30.6",""
"94d2a4cf-8cda-4ddd-95e4-261a333f2c68","MEASB","2022","_Population","1150.7","0.0","0.0","0.0",""
"9444a9c8-cc07-4a5c-bafd-3a02fb2f7602","MEASC","2007","_Proportion","0.0","0.0","0.0","0.0","A"
"9f1bbece-a937-46c1-9c1e-f1c1fb0e1c78","MEASC","2007","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"79d68431-45da-4f83-b39f-c407d5e73c7a","MEASC","2007","_Number","0.0","0.0","0.0","0.0","A"
"9ba21df4-e2f5-469e-b43d-6212900c82f4","MEASC","2007","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"a8f44241-fe7e-4b83-932d-09a870a47c2e","MEASC","2007","_Population","0.0","0.0","0.0","0.0","A"
"38fc4bed-04c2-40f1-8859-f1fd4fac1511","MEASC","2008","_Proportion","0.0","0.0","0.0","0.0","A"
"95e98e88-2d91-41d8-b262-24e142bf4546","MEASC","2008","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"b5ad48b8-9a03-443e-b26c-a84b9af64d67","MEASC","2008","_Number","0.0","0.0","0.0","0.0","A"
"08f85f37-f683-4b39-8b14-ae9d2a2725bf","MEASC","2008","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"0d4e7655-40b4-40d7-a2db-871b8731b182","MEASC","2008","_Population","0.0","0.0","0.0","0.0","A"
"4da12dce-2444-4a9d-b668-f4fc915948c7","MEASC","2009","_Proportion","0.0","0.0","0.0","0.0","A"
"101e4fd9-389c-416b-ab0a-6b4874f3a548","MEASC","2009","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"13681cdb-9076-4f97-bb19-478a16a01e83","MEASC","2009","_Number","0.0","0.0","0.0","0.0","A"
"0209187f-1a4b-4b24-9f5b-16f1f975c2f1","MEASC","2009","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"f2490628-27ae-4743-a081-55a9a5573902","MEASC","2009","_Population","0.0","0.0","0.0","0.0","A"
"08fca70c-6f9d-41d5-8742-c51b21eb8fc3","MEASC","2010","_Proportion","0.0","0.0","0.0","0.0","A"
"1d26e03a-9c75-48d8-b2df-91534a6b78d6","MEASC","2010","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"b888f355-f283-4fcc-a941-6c202730821f","MEASC","2010","_Number","0.0","0.0","0.0","0.0","A"
"41e636c6-4f2a-479b-bff7-59a66d74085f","MEASC","2010","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"038d68c5-fb79-4c41-86ee-d5dab393fb6b","MEASC","2010","_Population","0.0","0.0","0.0","0.0","A"
"4004f24f-6392-4627-ac69-a02680876164","MEASC","2011","_Proportion","0.0","0.0","0.0","0.0","A"
"0ee28ba5-7010-4678-a441-91fee01d3e58","MEASC","2011","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"43011bc1-3aab-4d90-8156-88c2b3b68c7c","MEASC","2011","_Number","0.0","0.0","0.0","0.0","A"
"6551fd90-f521-4213-8536-76ca6a70997f","MEASC","2011","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"42af6767-6645-4072-816f-444a271437f8","MEASC","2011","_Population","0.0","0.0","0.0","0.0","A"
"ba7ff07f-b65e-4b91-a301-7ef1dc2cf149","MEASC","2012","_Proportion","0.0","0.0","0.0","0.0","A"
"e0be00ea-b822-4f56-b689-11b1a4236669","MEASC","2012","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"51793b21-859c-492b-a223-6254ff137fca","MEASC","2012","_Number","0.0","0.0","0.0","0.0","A"
"d26a1f53-337e-4a36-9d0d-efb3603db05f","MEASC","2012","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"edfac21f-c71a-4460-8311-6752834c247d","MEASC","2012","_Population","0.0","0.0","0.0","0.0","A"
"833dc85c-e30f-42d3-b259-b840e68f2e83","MEASC","2013","_Proportion","18.1","4.3","13.8","22.3",""
"3103dbb8-8fdf-43ba-9404-0ce6d8e37f79","MEASC","2013","_ChangeInProportion","0.0","0.0","0.0","0.0","A"
"db9474c0-89f4-4636-8d95-ad4c7352ac51","MEASC","2013","_Number","195.8","46.2","149.6","242.0",""
"c44c7ae5-fb2b-467a-818c-bc2b457cf534","MEASC","2013","_ChangeInNumber","0.0","0.0","0.0","0.0","A"
"e96d689f-69ca-4102-9272-33b6c52224fe","MEASC","2013","_Population","1084.7","0.0","0.0","0.0",""
"6c21c3ba-72b6-4a10-818e-03d93856c74f","MEASC","2014","_Proportion","16.0","3.8","12.1","19.8",""
"3f624a2a-b3f4-4b7d-b890-93d42d94fb5e","MEASC","2014","_ChangeInProportion","-2.1","6.0","-8.1","3.9",""
"55255f4a-a00f-4dfe-9c36-ce55789a2570","MEASC","2014","_Number","172.9","41.4","131.5","214.4",""
"b43d3703-8857-4d02-9da3-490c85733d94","MEASC","2014","_ChangeInNumber","-22.9","65.2","-88.1","42.3",""
"c75e1bb8-c7ab-4ef5-83f3-7af8e8e300b2","MEASC","2014","_Population","1083.9","0.0","0.0","0.0",""
"3ea5ce05-99f0-43bc-8556-29de410ec49d","MEASC","2015","_Proportion","17.5","4.3","13.2","21.8",""
"f052aa77-80b1-425d-8ef7-156be7313ec7","MEASC","2015","_ChangeInProportion","1.6","6.1","-4.6","7.7",""
"764674bb-1dc4-44ac-8938-c8396b1f3949","MEASC","2015","_Number","190.4","46.3","144.1","236.7",""
"37e6cdaa-3fe4-45bb-a5c8-361ab88da7ee","MEASC","2015","_ChangeInNumber","17.5","66.0","-48.5","83.5",""
"4d504fd8-7b42-47a3-8e9d-c66ef4b04a58","MEASC","2015","_Population","1087.1","0.0","0.0","0.0",""
"dc3e043d-ecdb-49fd-919d-d2365aa02f68","MEASC","2016","_Proportion","12.1","3.6","8.5","15.7",""
"dc163c7c-fb97-4fa1-9895-55f71d6f7f14","MEASC","2016","_ChangeInProportion","-5.4","5.8","-11.3","0.4",""
"022400c5-25f4-44ef-a83f-4d764ed88965","MEASC","2016","_Number","132.3","39.2","93.2","171.5",""
"b57ecd2d-e1de-4b62-9f18-3741e6e92baf","MEASC","2016","_ChangeInNumber","-58.1","63.5","-121.6","5.4",""
"bc9c42c4-e5d6-4cfc-a1cc-362a7977ba20","MEASC","2016","_Population","1093.2","0.0","0.0","0.0",""
"b982edcb-e6c1-4e40-bf9e-03df2d1f8a82","MEASC","2017","_Proportion","12.7","2.4","10.2","15.1",""
"d21a792e-d291-4984-a826-f95045d53657","MEASC","2017","_ChangeInProportion","0.5","4.6","-4.1","5.2",""
"1c804735-09b1-4a46-80b5-5185369839e1","MEASC","2017","_Number","139.6","26.5","113.1","166.1",""
"66c0deb2-cc8c-4b74-9901-3bbcf62860fa","MEASC","2017","_ChangeInNumber","7.3","50.3","-43.0","57.6",""
"208e8ade-f82c-49f9-bbf8-a91a41b534b6","MEASC","2017","_Population","1103.2","0.0","0.0","0.0",""
"e524a614-10f4-4aa9-b5f4-94f3d3cba17a","MEASC","2018","_Proportion","13.3","2.3","11.0","15.5",""
"61fdf1d2-9c72-45c5-94be-33c0fe8047e5","MEASC","2018","_ChangeInProportion","0.6","3.5","-2.9","4.1",""
"25c084d1-15d0-4ac4-a669-4f503d9cf44d","MEASC","2018","_Number","147.6","25.1","122.4","172.7",""
"a9d9e60b-e1dd-4b4b-8155-9df48f851bc9","MEASC","2018","_ChangeInNumber","8.0","38.2","-30.2","46.2",""
"95532ffa-2e10-43a8-a23a-b0742a44607c","MEASC","2018","_Population","1113.3","0.0","0.0","0.0",""
"723af369-411c-4b8b-b34d-233340c5011a","MEASC","2019","_Proportion","13.2","1.1","12.1","14.3",""
"3b567b45-b953-458d-b890-bade49f4292e","MEASC","2019","_ChangeInProportion","-0.1","2.6","-2.6","2.5",""
"94b4ae9e-ef40-4c9c-bc48-62f4929834da","MEASC","2019","_Number","149.4","12.2","137.2","161.6",""
"8de29010-e39a-4981-9698-f682e2902ed8","MEASC","2019","_ChangeInNumber","1.8","28.7","-26.9","30.5",""
"c41d2513-3647-4453-8900-388aa56f54f2","MEASC","2019","_Population","1132.2","0.0","0.0","0.0",""
"aba3f9c9-0a12-4502-8cd3-8afab10c5ee4","MEASC","2020","_Proportion","11.5","1.1","10.5","12.6",""
"84402698-d637-4337-9e48-18826821dd68","MEASC","2020","_ChangeInProportion","-1.7","1.5","-3.1","-0.2",""
"f36a9965-11ed-4f07-8be0-1abf9bdfc225","MEASC","2020","_Number","131.7","12.2","119.5","143.9",""
"f4f7bdb9-6daa-4108-a51e-f47ae2933979","MEASC","2020","_ChangeInNumber","-17.7","16.7","-34.5","-1.0",""
"72b7519e-0e4c-4891-b3ba-197a635f767c","MEASC","2020","_Population","1142.3","0.0","0.0","0.0",""
